title,poster_url,trailer_url
По соображениям совести,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/6/3/8325361/9a3191c01caa5bdcf3acc4895e945637.jpeg,https://www.kinoafisha.info/trailers/318745766760aa685d33b00c9c5d2be0/
Вечное сияние чистого разума,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/6/5/5565/c20d2fa5a4cb6863839aa71affbb3834.jpeg,https://www.kinoafisha.info/trailers/512266dcb17be81e91d464f8e0bcccaa/
День сурка,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/7/7/5412773/5039c1b0f38167f42953e933a08e66d5.jpeg,https://www.kinoafisha.info/trailers/708552f7ad35326bc02bd20dee278d5d/
Любовь и голуби,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/2/9/5920923/ad3bbed263da24ca207d4d1990cd0637.jpg,
Топ Ган: Мэверик,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/0/3/5/8178530/4eae0a98fe28f574d644aaccb14be1d2.jpeg,https://www.kinoafisha.info/trailers/11ae9aa1ed856d63e30521457133f9d8/
Джон Уик 4,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/3/9/7/8356793/223244929959.jpg,https://www.kinoafisha.info/trailers/ad646f1b7ee68782e32fe6aba5a489ac/
Шрэк,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/5/2/6/5625/8971a949ea7f23e16f77f34c1d9403aa.jpeg,
Вайолет Эвергарден. Фильм,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/6/6/1/8363166/5b8fbe17c1ae9d0f900f3c7524ef64ae.jpg,https://www.kinoafisha.info/trailers/afeaf4cc2302c7c0693ba239797e0a90/
Служебный роман,https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/1/1/1/5617111/99aff2a96757ccabf0394ee3d42a8aab.jpg,https://www.kinoafisha.info/trailers/d90c557c9721c066269f978eef235439/
"Судзумэ, закрывающая двери",https://static.kinoafisha.info/k/movie_posters/1080x1920/upload/movie_posters/4/2/0/8366024/186146891678716810.jpg,https://www.kinoafisha.info/trailers/30067d4dfa64f927edf67d0695211adb/
